--- root ---
2019-10-03 13:31:54.218663 0.000001 contents directory start
2019-10-03 13:31:54.219281 0.000649 contents directory end
2019-10-03 13:31:54.219318 0.000691 numberOfRows=0 
2019-10-03 13:31:54.520987 0.302344 setting start
2019-10-03 13:31:54.521116 0.302482 setting end
2019-10-03 13:31:54.524603 0.305962 setting start
2019-10-03 13:31:54.524670 0.306045 setting end
2019-10-03 13:31:54.525617 0.306978 setting start
2019-10-03 13:31:54.525679 0.307055 setting end
2019-10-03 13:31:54.526562 0.307925 setting start
2019-10-03 13:31:54.526620 0.307995 setting end
2019-10-03 13:31:54.527577 0.308936 setting start
2019-10-03 13:31:54.527639 0.309014 setting end
2019-10-03 13:31:54.528463 0.309828 setting start
2019-10-03 13:31:54.528515 0.309892 setting end

--- Appications ---
2019-10-03 13:31:56.376962 0.000009 contents directory start
2019-10-03 13:31:56.377459 0.000507 contents directory end
2019-10-03 13:31:56.377507 0.000559 numberOfRows=1 
2019-10-03 13:31:56.384748 0.007794 setting start
2019-10-03 13:31:56.384807 0.007865 setting end
2019-10-03 13:31:56.385374 0.008425 setting start
2019-10-03 13:31:56.385412 0.008470 setting end
2019-10-03 13:31:56.386375 0.009426 setting start
2019-10-03 13:31:56.386414 0.009471 setting end
2019-10-03 13:31:56.386846 0.009899 setting start
2019-10-03 13:31:56.386882 0.009939 setting end
2019-10-03 13:31:56.387315 0.010367 setting start
2019-10-03 13:31:56.387351 0.010409 setting end
2019-10-03 13:31:56.387705 0.010757 setting start
2019-10-03 13:31:56.387739 0.010796 setting end
2019-10-03 13:31:56.388141 0.011194 setting start
2019-10-03 13:31:56.388175 0.011233 setting end
2019-10-03 13:31:56.388555 0.011608 setting start
2019-10-03 13:31:56.388587 0.011645 setting end
2019-10-03 13:31:56.389038 0.012091 setting start
2019-10-03 13:31:56.389072 0.012130 setting end
2019-10-03 13:31:56.389433 0.012486 setting start
2019-10-03 13:31:56.389464 0.012522 setting end
2019-10-03 13:31:56.389809 0.012856 setting start
2019-10-03 13:31:56.389841 0.012899 setting end
2019-10-03 13:31:56.390284 0.013337 setting start
2019-10-03 13:31:56.390317 0.013375 setting end
2019-10-03 13:31:56.390733 0.013786 setting start
2019-10-03 13:31:56.390766 0.013823 setting end
2019-10-03 13:31:56.391175 0.014228 setting start
2019-10-03 13:31:56.391210 0.014268 setting end
2019-10-03 13:31:56.391684 0.014736 setting start
2019-10-03 13:31:56.391717 0.014775 setting end
2019-10-03 13:31:56.392092 0.015145 setting start
2019-10-03 13:31:56.392124 0.015182 setting end
2019-10-03 13:31:56.393963 0.017003 setting start
2019-10-03 13:31:56.394044 0.017095 setting end
2019-10-03 13:31:56.394661 0.017711 setting start
2019-10-03 13:31:56.394730 0.017779 setting end
2019-10-03 13:31:56.395686 0.018732 setting start
2019-10-03 13:31:56.395748 0.018802 setting end
2019-10-03 13:31:56.396683 0.019732 setting start
2019-10-03 13:31:56.396748 0.019786 setting end
2019-10-03 13:31:56.397212 0.020261 setting start
2019-10-03 13:31:56.397261 0.020315 setting end
2019-10-03 13:31:56.397707 0.020760 setting start
2019-10-03 13:31:56.397740 0.020798 setting end
2019-10-03 13:31:56.398143 0.021196 setting start
2019-10-03 13:31:56.398176 0.021234 setting end
2019-10-03 13:31:56.398512 0.021566 setting start
2019-10-03 13:31:56.398543 0.021601 setting end
2019-10-03 13:31:56.398912 0.021965 setting start
2019-10-03 13:31:56.398960 0.022015 setting end
2019-10-03 13:31:56.399307 0.022361 setting start
2019-10-03 13:31:56.399340 0.022397 setting end
2019-10-03 13:31:56.399663 0.022716 setting start
2019-10-03 13:31:56.399694 0.022752 setting end
2019-10-03 13:31:56.400026 0.023079 setting start
2019-10-03 13:31:56.400058 0.023116 setting end
2019-10-03 13:31:56.400375 0.023429 setting start
2019-10-03 13:31:56.400406 0.023464 setting end
2019-10-03 13:31:56.400739 0.023793 setting start
2019-10-03 13:31:56.400770 0.023828 setting end
2019-10-03 13:31:56.401093 0.024148 setting start
2019-10-03 13:31:56.401129 0.024184 setting end
2019-10-03 13:31:56.401490 0.024543 setting start
2019-10-03 13:31:56.401523 0.024580 setting end
2019-10-03 13:31:56.468518 0.091557 setting start
2019-10-03 13:31:56.468588 0.091642 setting end
2019-10-03 13:31:56.469058 0.092111 setting start
2019-10-03 13:31:56.469093 0.092150 setting end
2019-10-03 13:31:56.469437 0.092489 setting start
2019-10-03 13:31:56.469474 0.092531 setting end
2019-10-03 13:31:56.469839 0.092892 setting start
2019-10-03 13:31:56.469873 0.092931 setting end
2019-10-03 13:31:56.470177 0.093233 setting start
2019-10-03 13:31:56.470203 0.093261 setting end
2019-10-03 13:31:56.470634 0.093689 setting start
2019-10-03 13:31:56.470663 0.093720 setting end
2019-10-03 13:31:56.470989 0.094044 setting start
2019-10-03 13:31:56.471015 0.094072 setting end
2019-10-03 13:31:56.471374 0.094426 setting start
2019-10-03 13:31:56.471408 0.094465 setting end
2019-10-03 13:31:56.471730 0.094784 setting start
2019-10-03 13:31:56.471762 0.094820 setting end
2019-10-03 13:31:56.472075 0.095129 setting start
2019-10-03 13:31:56.472106 0.095164 setting end
2019-10-03 13:31:56.525641 0.148690 setting start
2019-10-03 13:31:56.525694 0.148747 setting end
2019-10-03 13:31:56.526208 0.149259 setting start
2019-10-03 13:31:56.526244 0.149302 setting end
2019-10-03 13:31:56.526575 0.149630 setting start
2019-10-03 13:31:56.526604 0.149662 setting end
2019-10-03 13:31:56.526899 0.149954 setting start
2019-10-03 13:31:56.526928 0.149986 setting end
