2019-10-03 18:52:46.557450+0900 Browser[475:4544] 0.000602 / numberOfRows=0 
2019-10-03 18:52:46.895763+0900 Browser[475:4544] 0.338944 DisplayCell start
2019-10-03 18:52:46.896282+0900 Browser[475:4544] 0.339473 DisplayCell end
2019-10-03 18:52:46.899343+0900 Browser[475:4544] 0.342530 DisplayCell start
2019-10-03 18:52:46.899847+0900 Browser[475:4544] 0.343039 DisplayCell end
2019-10-03 18:52:46.900540+0900 Browser[475:4544] 0.343735 DisplayCell start
2019-10-03 18:52:46.901003+0900 Browser[475:4544] 0.344196 DisplayCell end
2019-10-03 18:52:46.901703+0900 Browser[475:4544] 0.344898 DisplayCell start
2019-10-03 18:52:46.902192+0900 Browser[475:4544] 0.345376 DisplayCell end
2019-10-03 18:52:46.902972+0900 Browser[475:4544] 0.346166 DisplayCell start
2019-10-03 18:52:46.903473+0900 Browser[475:4544] 0.346661 DisplayCell end
2019-10-03 18:52:46.904345+0900 Browser[475:4544] 0.347533 DisplayCell start
2019-10-03 18:52:46.905050+0900 Browser[475:4544] 0.348218 DisplayCell end

2019-10-03 18:52:48.686410+0900 Browser[475:4544] 0.000399 /Applications numberOfRows=1 
2019-10-03 18:52:48.693871+0900 Browser[475:4544] 0.007862 DisplayCell start
2019-10-03 18:52:48.694314+0900 Browser[475:4544] 0.008311 DisplayCell end
2019-10-03 18:52:48.694824+0900 Browser[475:4544] 0.008822 DisplayCell start
2019-10-03 18:52:48.695185+0900 Browser[475:4544] 0.009182 DisplayCell end
2019-10-03 18:52:48.696209+0900 Browser[475:4544] 0.010201 DisplayCell start
2019-10-03 18:52:48.696603+0900 Browser[475:4544] 0.010599 DisplayCell end
2019-10-03 18:52:48.697125+0900 Browser[475:4544] 0.011122 DisplayCell start
2019-10-03 18:52:48.697480+0900 Browser[475:4544] 0.011478 DisplayCell end
2019-10-03 18:52:48.697966+0900 Browser[475:4544] 0.011958 DisplayCell start
2019-10-03 18:52:48.698314+0900 Browser[475:4544] 0.012311 DisplayCell end
2019-10-03 18:52:48.698747+0900 Browser[475:4544] 0.012743 DisplayCell start
2019-10-03 18:52:48.699117+0900 Browser[475:4544] 0.013113 DisplayCell end
2019-10-03 18:52:48.699614+0900 Browser[475:4544] 0.013609 DisplayCell start
2019-10-03 18:52:48.699991+0900 Browser[475:4544] 0.013987 DisplayCell end
2019-10-03 18:52:48.700449+0900 Browser[475:4544] 0.014446 DisplayCell start
2019-10-03 18:52:48.700785+0900 Browser[475:4544] 0.014783 DisplayCell end
2019-10-03 18:52:48.701283+0900 Browser[475:4544] 0.015280 DisplayCell start
2019-10-03 18:52:48.701635+0900 Browser[475:4544] 0.015632 DisplayCell end
2019-10-03 18:52:48.702063+0900 Browser[475:4544] 0.016060 DisplayCell start
2019-10-03 18:52:48.702406+0900 Browser[475:4544] 0.016403 DisplayCell end
2019-10-03 18:52:48.702829+0900 Browser[475:4544] 0.016827 DisplayCell start
2019-10-03 18:52:48.703173+0900 Browser[475:4544] 0.017170 DisplayCell end
2019-10-03 18:52:48.703725+0900 Browser[475:4544] 0.017721 DisplayCell start
2019-10-03 18:52:48.704091+0900 Browser[475:4544] 0.018088 DisplayCell end
2019-10-03 18:52:48.704627+0900 Browser[475:4544] 0.018621 DisplayCell start
2019-10-03 18:52:48.705097+0900 Browser[475:4544] 0.019085 DisplayCell end
2019-10-03 18:52:48.705735+0900 Browser[475:4544] 0.019729 DisplayCell start
2019-10-03 18:52:48.706319+0900 Browser[475:4544] 0.020309 DisplayCell end
2019-10-03 18:52:48.707018+0900 Browser[475:4544] 0.021013 DisplayCell start
2019-10-03 18:52:48.707401+0900 Browser[475:4544] 0.021396 DisplayCell end
2019-10-03 18:52:48.707897+0900 Browser[475:4544] 0.021894 DisplayCell start
2019-10-03 18:52:48.708255+0900 Browser[475:4544] 0.022252 DisplayCell end
2019-10-03 18:52:48.710283+0900 Browser[475:4544] 0.024273 DisplayCell start
2019-10-03 18:52:48.710653+0900 Browser[475:4544] 0.024645 DisplayCell end
2019-10-03 18:52:48.711123+0900 Browser[475:4544] 0.025120 DisplayCell start
2019-10-03 18:52:48.711456+0900 Browser[475:4544] 0.025452 DisplayCell end
2019-10-03 18:52:48.712178+0900 Browser[475:4544] 0.026174 DisplayCell start
2019-10-03 18:52:48.712518+0900 Browser[475:4544] 0.026513 DisplayCell end
2019-10-03 18:52:48.713139+0900 Browser[475:4544] 0.027134 DisplayCell start
2019-10-03 18:52:48.713482+0900 Browser[475:4544] 0.027479 DisplayCell end
2019-10-03 18:52:48.713926+0900 Browser[475:4544] 0.027923 DisplayCell start
2019-10-03 18:52:48.714257+0900 Browser[475:4544] 0.028254 DisplayCell end
2019-10-03 18:52:48.714718+0900 Browser[475:4544] 0.028713 DisplayCell start
2019-10-03 18:52:48.715148+0900 Browser[475:4544] 0.029143 DisplayCell end
2019-10-03 18:52:48.715633+0900 Browser[475:4544] 0.029630 DisplayCell start
2019-10-03 18:52:48.715939+0900 Browser[475:4544] 0.029938 DisplayCell end
2019-10-03 18:52:48.716300+0900 Browser[475:4544] 0.030297 DisplayCell start
2019-10-03 18:52:48.716617+0900 Browser[475:4544] 0.030615 DisplayCell end
2019-10-03 18:52:48.717106+0900 Browser[475:4544] 0.031101 DisplayCell start
2019-10-03 18:52:48.717464+0900 Browser[475:4544] 0.031460 DisplayCell end
2019-10-03 18:52:48.717837+0900 Browser[475:4544] 0.031835 DisplayCell start
2019-10-03 18:52:48.718125+0900 Browser[475:4544] 0.032124 DisplayCell end
2019-10-03 18:52:48.718455+0900 Browser[475:4544] 0.032453 DisplayCell start
2019-10-03 18:52:48.718749+0900 Browser[475:4544] 0.032748 DisplayCell end
2019-10-03 18:52:48.719113+0900 Browser[475:4544] 0.033106 DisplayCell start
2019-10-03 18:52:48.719427+0900 Browser[475:4544] 0.033424 DisplayCell end
2019-10-03 18:52:48.719800+0900 Browser[475:4544] 0.033797 DisplayCell start
2019-10-03 18:52:48.733613+0900 Browser[475:4544] 0.047602 DisplayCell end
2019-10-03 18:52:48.734047+0900 Browser[475:4544] 0.048046 DisplayCell start
2019-10-03 18:52:48.734352+0900 Browser[475:4544] 0.048352 DisplayCell end
2019-10-03 18:52:48.734697+0900 Browser[475:4544] 0.048695 DisplayCell start
2019-10-03 18:52:48.735031+0900 Browser[475:4544] 0.049028 DisplayCell end
2019-10-03 18:52:48.735425+0900 Browser[475:4544] 0.049421 DisplayCell start
2019-10-03 18:52:48.735769+0900 Browser[475:4544] 0.049768 DisplayCell end
2019-10-03 18:52:48.811578+0900 Browser[475:4544] 0.125567 DisplayCell start
2019-10-03 18:52:48.812010+0900 Browser[475:4544] 0.126003 DisplayCell end
2019-10-03 18:52:48.812699+0900 Browser[475:4544] 0.126692 DisplayCell start
2019-10-03 18:52:48.813096+0900 Browser[475:4544] 0.127092 DisplayCell end
2019-10-03 18:52:48.813579+0900 Browser[475:4544] 0.127576 DisplayCell start
2019-10-03 18:52:48.813933+0900 Browser[475:4544] 0.127928 DisplayCell end
2019-10-03 18:52:48.814366+0900 Browser[475:4544] 0.128364 DisplayCell start
2019-10-03 18:52:48.814709+0900 Browser[475:4544] 0.128706 DisplayCell end
2019-10-03 18:52:48.815123+0900 Browser[475:4544] 0.129120 DisplayCell start
2019-10-03 18:52:48.815462+0900 Browser[475:4544] 0.129458 DisplayCell end
2019-10-03 18:52:48.816027+0900 Browser[475:4544] 0.130023 DisplayCell start
2019-10-03 18:52:48.816370+0900 Browser[475:4544] 0.130367 DisplayCell end
2019-10-03 18:52:48.816866+0900 Browser[475:4544] 0.130861 DisplayCell start
2019-10-03 18:52:48.817284+0900 Browser[475:4544] 0.131276 DisplayCell end
2019-10-03 18:52:48.817851+0900 Browser[475:4544] 0.131848 DisplayCell start
2019-10-03 18:52:48.818241+0900 Browser[475:4544] 0.132236 DisplayCell end
2019-10-03 18:52:48.818665+0900 Browser[475:4544] 0.132663 DisplayCell start
2019-10-03 18:52:48.819005+0900 Browser[475:4544] 0.133001 DisplayCell end
2019-10-03 18:52:48.819413+0900 Browser[475:4544] 0.133410 DisplayCell start
2019-10-03 18:52:48.819741+0900 Browser[475:4544] 0.133738 DisplayCell end
2019-10-03 18:52:48.820313+0900 Browser[475:4544] 0.134308 DisplayCell start
2019-10-03 18:52:48.820669+0900 Browser[475:4544] 0.134665 DisplayCell end
2019-10-03 18:52:48.821169+0900 Browser[475:4544] 0.135163 DisplayCell start
2019-10-03 18:52:48.821596+0900 Browser[475:4544] 0.135590 DisplayCell end
2019-10-03 18:52:48.822142+0900 Browser[475:4544] 0.136137 DisplayCell start
2019-10-03 18:52:48.822608+0900 Browser[475:4544] 0.136599 DisplayCell end
2019-10-03 18:52:48.823241+0900 Browser[475:4544] 0.137220 DisplayCell start
2019-10-03 18:52:48.823950+0900 Browser[475:4544] 0.137913 DisplayCell end

2019-10-03 18:52:51.009528+0900 Browser[475:4544] 0.000164 /Applications/App Store.app/Contents numberOfRows=3 
2019-10-03 18:52:51.010968+0900 Browser[475:4544] 0.001606 DisplayCell start
2019-10-03 18:52:51.011159+0900 Browser[475:4544] 0.001803 DisplayCell end
2019-10-03 18:52:51.011197+0900 Browser[475:4544] 0.001845 DisplayCell start
2019-10-03 18:52:51.011330+0900 Browser[475:4544] 0.001973 DisplayCell end
2019-10-03 18:52:51.011366+0900 Browser[475:4544] 0.002012 DisplayCell start
2019-10-03 18:52:51.011483+0900 Browser[475:4544] 0.002127 DisplayCell end
2019-10-03 18:52:51.011518+0900 Browser[475:4544] 0.002165 DisplayCell start
2019-10-03 18:52:51.011625+0900 Browser[475:4544] 0.002272 DisplayCell end
2019-10-03 18:52:51.011661+0900 Browser[475:4544] 0.002307 DisplayCell start
2019-10-03 18:52:51.011766+0900 Browser[475:4544] 0.002414 DisplayCell end
2019-10-03 18:52:51.011799+0900 Browser[475:4544] 0.002445 DisplayCell start
2019-10-03 18:52:51.011909+0900 Browser[475:4544] 0.002556 DisplayCell end
2019-10-03 18:52:51.011936+0900 Browser[475:4544] 0.002584 DisplayCell start
2019-10-03 18:52:51.012056+0900 Browser[475:4544] 0.002703 DisplayCell end

2019-10-03 18:52:52.534825+0900 Browser[475:4544] 0.000129 /Applications/App Store.app/Contents/_CodeSignature numberOfRows=4 
2019-10-03 18:52:52.536706+0900 Browser[475:4544] 0.002008 DisplayCell start
2019-10-03 18:52:52.536897+0900 Browser[475:4544] 0.002207 DisplayCell end

2019-10-03 18:52:56.501433+0900 Browser[475:4544] 0.000151 /Users numberOfRows=1 
2019-10-03 18:52:56.510093+0900 Browser[475:4544] 0.008795 DisplayCell start
2019-10-03 18:52:56.510438+0900 Browser[475:4544] 0.009155 DisplayCell end
2019-10-03 18:52:56.510997+0900 Browser[475:4544] 0.009720 DisplayCell start
2019-10-03 18:52:56.511149+0900 Browser[475:4544] 0.009879 DisplayCell end

2019-10-03 18:52:57.748197+0900 Browser[475:4544] 0.000213 /Users/itohisao numberOfRows=2 
2019-10-03 18:52:57.749626+0900 Browser[475:4544] 0.001643 DisplayCell start
2019-10-03 18:52:57.749875+0900 Browser[475:4544] 0.001896 DisplayCell end
2019-10-03 18:52:57.749925+0900 Browser[475:4544] 0.001952 DisplayCell start
2019-10-03 18:52:57.750110+0900 Browser[475:4544] 0.002135 DisplayCell end
2019-10-03 18:52:57.750145+0900 Browser[475:4544] 0.002172 DisplayCell start
2019-10-03 18:52:57.750311+0900 Browser[475:4544] 0.002336 DisplayCell end
2019-10-03 18:52:57.750350+0900 Browser[475:4544] 0.002376 DisplayCell start
2019-10-03 18:52:57.750518+0900 Browser[475:4544] 0.002541 DisplayCell end
2019-10-03 18:52:57.750556+0900 Browser[475:4544] 0.002584 DisplayCell start
2019-10-03 18:52:57.750699+0900 Browser[475:4544] 0.002724 DisplayCell end
2019-10-03 18:52:57.750740+0900 Browser[475:4544] 0.002765 DisplayCell start
2019-10-03 18:52:57.750956+0900 Browser[475:4544] 0.002978 DisplayCell end
2019-10-03 18:52:57.750999+0900 Browser[475:4544] 0.003025 DisplayCell start
2019-10-03 18:52:57.751224+0900 Browser[475:4544] 0.003234 DisplayCell end
2019-10-03 18:52:57.751293+0900 Browser[475:4544] 0.003315 DisplayCell start
2019-10-03 18:52:57.751499+0900 Browser[475:4544] 0.003521 DisplayCell end
2019-10-03 18:52:57.751537+0900 Browser[475:4544] 0.003564 DisplayCell start
2019-10-03 18:52:57.751705+0900 Browser[475:4544] 0.003731 DisplayCell end

2019-10-03 18:52:59.800709+0900 Browser[475:4544] 0.000196 /Users/itohisao/Desktop numberOfRows=3 
2019-10-03 18:52:59.802051+0900 Browser[475:4544] 0.001540 DisplayCell start
2019-10-03 18:52:59.802263+0900 Browser[475:4544] 0.001756 DisplayCell end
2019-10-03 18:52:59.802302+0900 Browser[475:4544] 0.001799 DisplayCell start
