2019-10-03 18:48:56.441691+0900 Browser[482:4685] 0.001588 / numberOfRows=0 
2019-10-03 18:48:56.800815+0900 Browser[482:4685] 0.360719 DisplayCell start
2019-10-03 18:48:56.800956+0900 Browser[482:4685] 0.360888 DisplayCell end
2019-10-03 18:48:56.804963+0900 Browser[482:4685] 0.364889 DisplayCell start
2019-10-03 18:48:56.805027+0900 Browser[482:4685] 0.364964 DisplayCell end
2019-10-03 18:48:56.805907+0900 Browser[482:4685] 0.365839 DisplayCell start
2019-10-03 18:48:56.805962+0900 Browser[482:4685] 0.365900 DisplayCell end
2019-10-03 18:48:56.806760+0900 Browser[482:4685] 0.366691 DisplayCell start
2019-10-03 18:48:56.806811+0900 Browser[482:4685] 0.366749 DisplayCell end
2019-10-03 18:48:56.807664+0900 Browser[482:4685] 0.367596 DisplayCell start
2019-10-03 18:48:56.807715+0900 Browser[482:4685] 0.367653 DisplayCell end
2019-10-03 18:48:56.808464+0900 Browser[482:4685] 0.368394 DisplayCell start
2019-10-03 18:48:56.808516+0900 Browser[482:4685] 0.368454 DisplayCell end

2019-10-03 18:48:58.602185+0900 Browser[482:4685] 0.000488 /Applications numberOfRows=1 
2019-10-03 18:48:58.608995+0900 Browser[482:4685] 0.007338 DisplayCell start
2019-10-03 18:48:58.609058+0900 Browser[482:4685] 0.007410 DisplayCell end
2019-10-03 18:48:58.609637+0900 Browser[482:4685] 0.007985 DisplayCell start
2019-10-03 18:48:58.609676+0900 Browser[482:4685] 0.008030 DisplayCell end
2019-10-03 18:48:58.610712+0900 Browser[482:4685] 0.009061 DisplayCell start
2019-10-03 18:48:58.610754+0900 Browser[482:4685] 0.009107 DisplayCell end
2019-10-03 18:48:58.611225+0900 Browser[482:4685] 0.009574 DisplayCell start
2019-10-03 18:48:58.611263+0900 Browser[482:4685] 0.009617 DisplayCell end
2019-10-03 18:48:58.611721+0900 Browser[482:4685] 0.010070 DisplayCell start
2019-10-03 18:48:58.611761+0900 Browser[482:4685] 0.010115 DisplayCell end
2019-10-03 18:48:58.612142+0900 Browser[482:4685] 0.010491 DisplayCell start
2019-10-03 18:48:58.612178+0900 Browser[482:4685] 0.010532 DisplayCell end
2019-10-03 18:48:58.612617+0900 Browser[482:4685] 0.010966 DisplayCell start
2019-10-03 18:48:58.612656+0900 Browser[482:4685] 0.011010 DisplayCell end
2019-10-03 18:48:58.613055+0900 Browser[482:4685] 0.011405 DisplayCell start
2019-10-03 18:48:58.613090+0900 Browser[482:4685] 0.011444 DisplayCell end
2019-10-03 18:48:58.613560+0900 Browser[482:4685] 0.011910 DisplayCell start
2019-10-03 18:48:58.613596+0900 Browser[482:4685] 0.011949 DisplayCell end
2019-10-03 18:48:58.613964+0900 Browser[482:4685] 0.012315 DisplayCell start
2019-10-03 18:48:58.613999+0900 Browser[482:4685] 0.012353 DisplayCell end
2019-10-03 18:48:58.614392+0900 Browser[482:4685] 0.012740 DisplayCell start
2019-10-03 18:48:58.614430+0900 Browser[482:4685] 0.012781 DisplayCell end
2019-10-03 18:48:58.614901+0900 Browser[482:4685] 0.013251 DisplayCell start
2019-10-03 18:48:58.614936+0900 Browser[482:4685] 0.013290 DisplayCell end
2019-10-03 18:48:58.615439+0900 Browser[482:4685] 0.013788 DisplayCell start
2019-10-03 18:48:58.615478+0900 Browser[482:4685] 0.013832 DisplayCell end
2019-10-03 18:48:58.615921+0900 Browser[482:4685] 0.014271 DisplayCell start
2019-10-03 18:48:58.615956+0900 Browser[482:4685] 0.014310 DisplayCell end
2019-10-03 18:48:58.616467+0900 Browser[482:4685] 0.014817 DisplayCell start
2019-10-03 18:48:58.616575+0900 Browser[482:4685] 0.014919 DisplayCell end
2019-10-03 18:48:58.617098+0900 Browser[482:4685] 0.015446 DisplayCell start
2019-10-03 18:48:58.617138+0900 Browser[482:4685] 0.015490 DisplayCell end
2019-10-03 18:48:58.619607+0900 Browser[482:4685] 0.017939 DisplayCell start
2019-10-03 18:48:58.619694+0900 Browser[482:4685] 0.018017 DisplayCell end
2019-10-03 18:48:58.620321+0900 Browser[482:4685] 0.018668 DisplayCell start
2019-10-03 18:48:58.620367+0900 Browser[482:4685] 0.018720 DisplayCell end
2019-10-03 18:48:58.621213+0900 Browser[482:4685] 0.019561 DisplayCell start
2019-10-03 18:48:58.621255+0900 Browser[482:4685] 0.019608 DisplayCell end
2019-10-03 18:48:58.621864+0900 Browser[482:4685] 0.020214 DisplayCell start
2019-10-03 18:48:58.621906+0900 Browser[482:4685] 0.020259 DisplayCell end
2019-10-03 18:48:58.622310+0900 Browser[482:4685] 0.020660 DisplayCell start
2019-10-03 18:48:58.622346+0900 Browser[482:4685] 0.020700 DisplayCell end
2019-10-03 18:48:58.622749+0900 Browser[482:4685] 0.021098 DisplayCell start
2019-10-03 18:48:58.622786+0900 Browser[482:4685] 0.021139 DisplayCell end
2019-10-03 18:48:58.623199+0900 Browser[482:4685] 0.021549 DisplayCell start
2019-10-03 18:48:58.623235+0900 Browser[482:4685] 0.021589 DisplayCell end
2019-10-03 18:48:58.623587+0900 Browser[482:4685] 0.021937 DisplayCell start
2019-10-03 18:48:58.623622+0900 Browser[482:4685] 0.021975 DisplayCell end
2019-10-03 18:48:58.624023+0900 Browser[482:4685] 0.022366 DisplayCell start
2019-10-03 18:48:58.624071+0900 Browser[482:4685] 0.022422 DisplayCell end
2019-10-03 18:48:58.624447+0900 Browser[482:4685] 0.022797 DisplayCell start
2019-10-03 18:48:58.624481+0900 Browser[482:4685] 0.022835 DisplayCell end
2019-10-03 18:48:58.624830+0900 Browser[482:4685] 0.023181 DisplayCell start
2019-10-03 18:48:58.624864+0900 Browser[482:4685] 0.023218 DisplayCell end
2019-10-03 18:48:58.625259+0900 Browser[482:4685] 0.023606 DisplayCell start
2019-10-03 18:48:58.625301+0900 Browser[482:4685] 0.023652 DisplayCell end
2019-10-03 18:48:58.625683+0900 Browser[482:4685] 0.024029 DisplayCell start
2019-10-03 18:48:58.625722+0900 Browser[482:4685] 0.024075 DisplayCell end
2019-10-03 18:48:58.626087+0900 Browser[482:4685] 0.024437 DisplayCell start
2019-10-03 18:48:58.626120+0900 Browser[482:4685] 0.024474 DisplayCell end
2019-10-03 18:48:58.626462+0900 Browser[482:4685] 0.024812 DisplayCell start
2019-10-03 18:48:58.626495+0900 Browser[482:4685] 0.024849 DisplayCell end
2019-10-03 18:48:58.626840+0900 Browser[482:4685] 0.025190 DisplayCell start
2019-10-03 18:48:58.626875+0900 Browser[482:4685] 0.025228 DisplayCell end
2019-10-03 18:48:58.687295+0900 Browser[482:4685] 0.085632 DisplayCell start
2019-10-03 18:48:58.687365+0900 Browser[482:4685] 0.085717 DisplayCell end
2019-10-03 18:48:58.687796+0900 Browser[482:4685] 0.086145 DisplayCell start
2019-10-03 18:48:58.687828+0900 Browser[482:4685] 0.086183 DisplayCell end
2019-10-03 18:48:58.688128+0900 Browser[482:4685] 0.086479 DisplayCell start
2019-10-03 18:48:58.688154+0900 Browser[482:4685] 0.086509 DisplayCell end
2019-10-03 18:48:58.688425+0900 Browser[482:4685] 0.086777 DisplayCell start
2019-10-03 18:48:58.688450+0900 Browser[482:4685] 0.086805 DisplayCell end
2019-10-03 18:48:58.688715+0900 Browser[482:4685] 0.087068 DisplayCell start
2019-10-03 18:48:58.688740+0900 Browser[482:4685] 0.087095 DisplayCell end
2019-10-03 18:48:58.689182+0900 Browser[482:4685] 0.087533 DisplayCell start
2019-10-03 18:48:58.689211+0900 Browser[482:4685] 0.087566 DisplayCell end
2019-10-03 18:48:58.689699+0900 Browser[482:4685] 0.088046 DisplayCell start
2019-10-03 18:48:58.689739+0900 Browser[482:4685] 0.088093 DisplayCell end
2019-10-03 18:48:58.690120+0900 Browser[482:4685] 0.088471 DisplayCell start
2019-10-03 18:48:58.695765+0900 Browser[482:4685] 0.094093 DisplayCell end
2019-10-03 18:48:58.696326+0900 Browser[482:4685] 0.094673 DisplayCell start
2019-10-03 18:48:58.696373+0900 Browser[482:4685] 0.094725 DisplayCell end
2019-10-03 18:48:58.696779+0900 Browser[482:4685] 0.095129 DisplayCell start
2019-10-03 18:48:58.696813+0900 Browser[482:4685] 0.095166 DisplayCell end
2019-10-03 18:48:58.697362+0900 Browser[482:4685] 0.095704 DisplayCell start
2019-10-03 18:48:58.697408+0900 Browser[482:4685] 0.095759 DisplayCell end
2019-10-03 18:48:58.697882+0900 Browser[482:4685] 0.096231 DisplayCell start
2019-10-03 18:48:58.697918+0900 Browser[482:4685] 0.096272 DisplayCell end
2019-10-03 18:48:58.698334+0900 Browser[482:4685] 0.096683 DisplayCell start
2019-10-03 18:48:58.698375+0900 Browser[482:4685] 0.096728 DisplayCell end
2019-10-03 18:48:58.698741+0900 Browser[482:4685] 0.097092 DisplayCell start
2019-10-03 18:48:58.698777+0900 Browser[482:4685] 0.097131 DisplayCell end

